DATA,PRECIPITACAO TOTAL,PRECIPITACAO MEDIA,PRESSAO ATMOSFERICA MEDIA,RADIACAO GLOBAL MEDIA,TEMPERATURA MINIMA,TEMPERATURA MAXIMA,TEMPERATURA MEDIA,PONTO DE ORVALHO MEDIA,UMIDADE RELATIVA DO AR MINIMA,UMIDADE RELATIVA DO AR MEDIA,VELOCIDADE DO VENTO MEDIA,QUANTIDADE FOCOS,OCORREU FOGO
2019-08-29,0.0,0.0,878.8000000000001,960.6875,16.0,26.7,21.32916666666667,6.872727272727272,18.0,32.81818181818182,2.545833333333333,0.0,False
2019-08-30,0.0,0.0,878.8458333333333,998.7750000000001,16.4,28.3,21.520833333333332,7.672727272727272,26.0,32.63636363636363,2.3541666666666665,5.0,True
2019-08-31,0.0,0.0,878.5083333333333,994.6041666666669,16.9,29.3,22.47916666666667,7.483333333333333,20.0,30.583333333333332,1.7000000000000002,0.0,False
2019-09-01,0.0,0.0,877.3791666666667,860.1833333333334,18.0,30.0,23.275000000000006,5.290909090909091,19.0,24.636363636363637,2.0583333333333336,0.0,False
2019-09-02,0.0,0.0,876.6833333333335,945.5458333333332,18.2,30.5,23.504166666666663,4.6454545454545455,19.0,22.545454545454547,2.1249999999999996,0.0,False
2019-09-03,0.0,0.0,877.8208333333332,988.9250000000001,17.3,30.1,23.17916666666667,4.8999999999999995,13.0,24.5,2.2958333333333334,1.0,True
2019-09-04,0.0,0.0,878.9916666666667,1064.8791666666666,16.6,29.8,22.841666666666665,5.045454545454546,12.0,25.272727272727273,2.4499999999999997,0.0,False
2019-09-05,0.0,0.0,879.5750000000002,1050.6041666666667,15.5,29.6,23.20416666666667,0.9076923076923079,10.0,19.153846153846153,2.6875,8.0,True
2019-09-06,0.0,0.0,879.8916666666665,1056.4458333333334,18.2,26.8,22.962499999999995,3.01764705882353,10.0,25.444444444444443,5.158333333333334,1.0,True
2019-09-07,0.0,0.0,881.1916666666665,912.8291666666668,17.4,26.6,22.133333333333336,7.205882352941177,18.0,35.94117647058823,4.191666666666666,0.0,False
2019-09-08,0.0,0.0,881.5,838.2833333333332,16.7,27.3,21.695833333333336,9.96923076923077,10.0,38.92857142857143,3.808333333333334,9.0,True
2019-09-09,0.0,0.0,880.2916666666669,1057.0,17.1,28.8,22.77916666666667,9.069230769230769,26.0,35.69230769230769,3.0833333333333326,0.0,False
2019-09-10,0.0,0.0,879.4041666666667,1064.2166666666667,17.2,28.6,22.583333333333332,5.566666666666666,13.0,27.5,2.0375,0.0,False
2019-09-11,0.0,0.0,877.9541666666669,1069.304166666667,16.5,29.8,22.908333333333335,7.790909090909091,22.0,28.818181818181817,1.875,47.0,True
2019-09-12,0.0,0.0,877.7583333333332,1080.9999999999998,17.6,30.2,23.566666666666666,1.663636363636364,14.0,17.818181818181817,2.120833333333333,0.0,False
2019-09-13,0.0,0.0,877.7624999999999,1092.5541666666668,16.0,31.7,23.866666666666664,1.3583333333333332,15.0,16.916666666666668,1.758333333333333,7.0,True
